This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
amd                  => sp=adjv gn=m nu=d
amdc                 => sp=adjv gn=m nu=d st=c
amdcX3mp             => sp=suff gn=m nu=d st=c ps2=3 gn2=m nu2=p
amp                  => sp=adjv gn=m nu=p
ampa                 => sp=adjv gn=m nu=p st=a
ampc                 => sp=adjv gn=m nu=p st=c
ampcX1cp             => sp=suff gn=m nu=p st=c ps2=1 gn2=c nu2=p
ampcX1cs             => sp=suff gn=m nu=p st=c ps2=1 gn2=c nu2=s
ampcX2fs             => sp=suff gn=m nu=p st=c ps2=2 gn2=f nu2=s
ampcX2mp             => sp=suff gn=m nu=p st=c ps2=2 gn2=m nu2=p
ampcX2ms             => sp=suff gn=m nu=p st=c ps2=2 gn2=m nu2=s
ampcX3fp             => sp=suff gn=m nu=p st=c ps2=3 gn2=f nu2=p
ampcX3fs             => sp=suff gn=m nu=p st=c ps2=3 gn2=f nu2=s
ampcX3mp             => sp=suff gn=m nu=p st=c ps2=3 gn2=m nu2=p
ampcX3ms             => sp=suff gn=m nu=p st=c ps2=3 gn2=m nu2=s
ampd                 => sp=adjv gn=m nu=p st=d
ampdX3ms             => sp=suff gn=m nu=p st=d ps2=3 gn2=m nu2=s
ams                  => sp=adjv gn=m nu=s
amsa                 => sp=adjv gn=m nu=s st=a
amsc                 => sp=adjv gn=m nu=s st=c
amscX1cp             => sp=suff gn=m nu=s st=c ps2=1 gn2=c nu2=p
amscX1cs             => sp=suff gn=m nu=s st=c ps2=1 gn2=c nu2=s
amscX2fs             => sp=suff gn=m nu=s st=c ps2=2 gn2=f nu2=s
amscX2mp             => sp=suff gn=m nu=s st=c ps2=2 gn2=m nu2=p
amscX2ms             => sp=suff gn=m nu=s st=c ps2=2 gn2=m nu2=s
amscX3fs             => sp=suff gn=m nu=s st=c ps2=3 gn2=f nu2=s
amscX3mp             => sp=suff gn=m nu=s st=c ps2=3 gn2=m nu2=p
amscX3ms             => sp=suff gn=m nu=s st=c ps2=3 gn2=m nu2=s
amsd                 => sp=adjv gn=m nu=s st=d
n000                 => sp=subs cl=unknown gn=unknown nu=unknown
nc0                  => sp=subs cl=cmn gn=unknown
nc00                 => sp=subs cl=cmn gn=unknown nu=unknown
nc00cX3mp            => sp=suff cl=cmn gn=unknown nu=unknown st=c ps2=3 gn2=m nu2=p
nc0p                 => sp=subs cl=cmn gn=unknown nu=p
nc0scX2ms            => sp=suff cl=cmn gn=unknown nu=s st=c ps2=2 gn2=m nu2=s
nc0scX3mp            => sp=suff cl=cmn gn=unknown nu=s st=c ps2=3 gn2=m nu2=p
ncb0                 => sp=subs cl=cmn gn=b nu=unknown
ncb0a                => sp=subs cl=cmn gn=b nu=unknown st=a
ncbd                 => sp=subs cl=cmn gn=b nu=d
ncbda                => sp=subs cl=cmn gn=b nu=d st=a
ncbdc                => sp=subs cl=cmn gn=b nu=d st=c
ncbdcX1cp            => sp=suff cl=cmn gn=b nu=d st=c ps2=1 gn2=c nu2=p
ncbdcX1cs            => sp=suff cl=cmn gn=b nu=d st=c ps2=1 gn2=c nu2=s
ncbdcX2fs            => sp=suff cl=cmn gn=b nu=d st=c ps2=2 gn2=f nu2=s
ncbdcX2mp            => sp=suff cl=cmn gn=b nu=d st=c ps2=2 gn2=m nu2=p
ncbdcX2ms            => sp=suff cl=cmn gn=b nu=d st=c ps2=2 gn2=m nu2=s
ncbdcX3fs            => sp=suff cl=cmn gn=b nu=d st=c ps2=3 gn2=f nu2=s
ncbdcX3mp            => sp=suff cl=cmn gn=b nu=d st=c ps2=3 gn2=m nu2=p
ncbdcX3ms            => sp=suff cl=cmn gn=b nu=d st=c ps2=3 gn2=m nu2=s
ncbp                 => sp=subs cl=cmn gn=b nu=p
ncbpa                => sp=subs cl=cmn gn=b nu=p st=a
ncbpc                => sp=subs cl=cmn gn=b nu=p st=c
